CptProcedureCode,AlightSpecialtyDescription,SpecialtyBucket,ProcedureCodeDescription,,,,,
G8166,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT DOCUMENTED TO HAVE REQUIRED SURGICAL RE-EXPLORATION,,,,,
G8167,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT DID NOT REQUIRE SURGICAL RE-EXPLORATION,,,,,
G8170,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT DOCUMENTED TO HAVE BEEN DISCHARGED ON ASPIRIN OR CLOPIDOGREL,,,,,
G8171,Family Practice,Office Visit,PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT NOT DOCUMENTED TO HAVE BEEN DISCHARGED ON ASPIRIN OR CLOPIDOGREL,,,,,
G8172,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) CLINICIAN DOCUMENTED THAT PATIENT WITH ISOLATED CORONARY ARTERY BYPASS GRAFT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIPLATELET THERAPY AT DISCHARGE MEASURE,,,,,
G8182,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE CARDIAC PATIENT FOR THE REQUIRED TIME FOR LOW-DENSITY LIPOPROTEIN MEASURE (6 MONTHS),,,,,
G8183,Family Practice,Office Visit,PATIENT WITH HEART FAILURE AND ATRIAL FIBRILLATION DOCUMENTED TO BE ON WARFARIN THERAPY,,,,,
G8184,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WITH HEART FAILURE AND ATRIAL FIBRILLATION WAS NOT AN ELIGIBLE CANDIDATE FOR WARFARIN THERAPY MEASURE,,,,,
G8185,Family Practice,Office Visit,PATIENTS DIAGNOSED WITH SYMPTOMATIC OSTEOARTHRITIS WITH DOCUMENTED ANNUAL ASSESSMENT OF FUNCTION AND PAIN,,,,,
G8186,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT SYMPTOMATIC OSTEOARTHRITIS PATIENTWAS NOT AN ELIGIBLE CANDIDATE FOR ANNUAL ASSESSMENT OF FUNCTION AND PAIN MEASURE,,,,,
G8191,Family Practice,Office Visit,"CLINICIAN DOCUMENTED TO HAVE GIVEN ORDER FOR PROPHYLACTIC ANTIBIOTIC TO BE GIVEN WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)",,,,,
G8192,Family Practice,Office Visit,"CLINICIAN DOCUMENTED TO HAVE GIVEN THE PROPHYLACTIC ANTIBIOTIC WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO THE SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)",,,,,
G8193,Family Practice,Office Visit,"CLINICIAN DID NOT DOCUMENT THAT AN ORDER FOR PROPHYLACTIC ANTIBIOTIC TO BE GIVEN WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED) WAS GIVEN",,,,,
G8194,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR PROPHYLACTIC ANTIBIOTIC,,,,,
G8195,Family Practice,Office Visit,"CLINICIAN DOCUMENTED TO HAVE GIVEN THE PROPHYLACTIC ANTIBIOTIC WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO THE SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)",,,,,
G8196,Family Practice,Office Visit,"CLINICIAN DID NOT DOCUMENT A PROPHYLACTIC ANTIBIOTIC WAS ADMINISTERED WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIOR TO SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISION IS REQUIRED)",,,,,
G8197,Family Practice,Office Visit,"PATIENT DOCUMENTED TO HAVE ORDER FOR PROPHYLACTIC ANTIBIOTICTO BE GIVEN WITHIN ONE HOUR (IF VANCOMYCIN, TWO HOURS) PRIORTO SURGICAL INCISION (OR START OF PROCEDURE WHEN NO INCISIONIS REQUIRED)",,,,,
G8198,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE ORDER FOR CEFAZOLIN OR CEFUROXIMEFOR ANTIMICROBIAL PROPHYLAXIS,,,,,
G8199,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN DOCUMENTED TO HAVE GIVEN CEFAZOLIN OR CEFUROXIME FOR ANTIMICROBIAL PROPHYLAXIS,,,,,
G8200,Family Practice,Office Visit,ORDER FOR CEFAZOLIN OR CEFUROXIME FOR ANTIMICROBIAL PROPHYLAXIS NOT DOCUMENTED,,,,,
G8201,Family Practice,Office Visit,PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR CEFAZOLIN OR CEFUROXIME FOR ANTIMICROBIAL PROPHYLAXIS,,,,,
G8202,Family Practice,Office Visit,CLINICIAN DOCUMENTED AN ORDER WAS GIVEN TO DISCONTINUE PROPHYLACTIC ANTIBIOTICS WITHIN 24 HOURS OF SURGICAL END TIME,,,,,
G8203,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTICS WERE DISCONTINUED WITHIN 24 HOURS OF SURGICAL END TIME,,,,,
G8204,Family Practice,Office Visit,CLINICIAN DID NOT DOCUMENT AN ORDER WAS GIVEN TO DISCONTINUEPROPHYLACTIC ANTIBIOTICS WITHIN 24 HOURS OF SURGICAL END TIME,,,,,
G8205,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR PROPHYLACTIC ANTIBIOTIC DISCONTINUATION WITHIN24 HOURS OF SURGICAL END TIME,,,,,
G8206,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTIC WAS GIVEN,,,,,
G8207,Family Practice,Office Visit,CLINICIAN DOCUMENTED AN ORDER WAS GIVEN TO DISCONTINUE PROPHYLACTIC ANTIBIOTICS WITHIN 48 HOURS OF SURGICAL END TIME,,,,,
G8208,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTICS WERE DISCONTINUED WITHIN 48 HOURS OF SURGICAL END TIME,,,,,
G8209,Family Practice,Office Visit,CLINICIAN DID NOT DOCUMENT AN ORDER WAS GIVEN TO DISCONTINUEPROPHYLACTIC ANTIBIOTICS WITHIN 48 HOURS OF SURGICAL END TIME,,,,,
G8210,Family Practice,Office Visit,CLINICIAN DOCUMENTED PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR DISCONTINUATION OF PROPHYLACTIC ANTIBIOTIC DISCONTINUATION WITHIN 48 HOURS OF SURGICAL END TIME,,,,,
G8211,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN DOCUMENTED THAT PROPHYLACTIC ANTIBIOTIC WAS GIVEN,,,,,
G8212,Family Practice,Office Visit,CLINICIAN DOCUMENTED AN ORDER WAS GIVEN FOR APPROPRIATE VENOUS THROMBOEMBOLISM (VTE) PROPHYLAXIS TO BE GIVEN WITHIN 24 HRS PRIOR TO INCISION TIME OR 24 HOURS AFTER SURGERY END TIME,,,,,
G8213,Family Practice,Office Visit,CLINICIAN DOCUMENTED TO HAVE GIVEN VTE PROPHYLAXIS WITHIN 24HRS PRIOR TO INCISION TIME OR 24 HOURS AFTER SURGERY END TIME,,,,,
G8214,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) CLINICIAN DID NOT DOCUMENT AN ORDER WAS GIVEN FOR APPROPRIATE VENOUS THROMBOEMBOLISM (VTE) PROPHYLAXIS TO BE GIVEN WITHIN 24 HRS PRIOR TO INCISION TIMEOR 24 HOURS AFTER SURGERY END TIME,,,,,
G8215,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR VENOUS THROMBOEMBOLISM (VTE) PROPHYLAXIS TO BEGIVEN WITHIN 24 HOURS PRIOR TO INCISION TIME OR 24 HOURS AFTER SURGERY END TIME,,,,,
G8216,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED DVT PROPHYLAXIS BY END OF HOSPITAL DAY TWO,,,,,
G8217,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE RECEIVED DVT PROPHYLAXIS BY END OF HOSPITAL DAY 2,,,,,
G8218,Family Practice,Office Visit,"PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR DVT PROPHYLAXIS BYEND OF HOSPITAL DAY 2, INCLUDING PHYSICIAN DOCUMENTATION THAT PATIENT IS AMBULATORY",,,,,
G8219,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED DVT PROPHYLAXIS BY END OF HOSPITAL DAY 2,,,,,
G8220,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED DVT PROPHYLAXIS BY END OF HOSPITAL DAY 2,,,,,
G8221,Family Practice,Office Visit,"CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR DVT PROPHYLAXIS BY THE END OF HOSPITAL DAY 2, INCLUDING PHYSICIAN DOCUMENTATION THAT PATIENT IS AMBULATORY",,,,,
G8222,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) PATIENT DOCUMENTED TO HAVE BEEN PRESCRIBED ANTIPLATELET THERAPY AT DISCHARGE,,,,,
G8223,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED PRESCRIPTION FOR ANTIPLATELET THERAPY AT DISCHARGE,,,,,
G8224,Family Practice,Office Visit,"CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIPLATELET THERAPY AT DISCHARGE, INCLUDING IDENTIFICATION FROM MEDICAL RECORD THAT PATIENT IS ON ANTICOAGULATION THERAPY",,,,,
G8225,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE BEEN PRESCRIBED AN ANTICOAGULANT AT DISCHARGE,,,,,
G8226,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED PRESCRIPTION FOR ANTICOAGULANT THERAPY AT DISCHARGE,,,,,
G8227,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2008.) PATIENT NOT DOCUMENTED TO HAVE PERMANENT, PERSISTENT, OR PAROXYSMAL ATRIAL FIBRILLATION",,,,,
G8228,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTICOAGULANT THERAPY AT DISCHARGE,,,,,
G8229,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE BEEN ADMINISTERED OR CONSIDERED FOR T-PA,,,,,
G8230,Family Practice,Office Visit,"PATIENT NOT ELIGIBLE FOR T-PA ADMINISTRATION, ISCHEMIC STROKE SYMPTOM ONSET OF MORE THAN 3 HOURS",,,,,
G8231,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE RECEIVED T-PA OR NOT DOCUMENTED TO HAVE BEEN CONSIDERED A CANDIDATE FOR T-PA ADMINISTRATION,,,,,
G8232,Family Practice,Office Visit,"PATIENT DOCUMENTED TO HAVE RECEIVED DYSPHAGIA SCREENING PRIOR TO TAKING ANY FOODS, FLUIDS OR MEDICATION BY MOUTH",,,,,
G8234,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED DYSPHAGIA SCREENING,,,,,
G8235,Family Practice,Office Visit,"PATIENT NOT RECEIVING OR INELIGIBLE TO RECEIVE FOOD, FLUIDS OR MEDICATION BY MOUTH, OR DOCUMENTATION OF NPO (NOTHING BY MOUTH) ORDER",,,,,
G8236,Family Practice,Office Visit,"CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR DYSPHAGIA SCREENING PRIOR TO TAKING ANY FOODS,FLUIDS OR MEDICATION BY MOUTH",,,,,
G8237,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED ORDER FOR REHABILITATIONSERVICES OR DOCUMENTATION OF CONSIDERATION FOR REHABILITATION SERVICES,,,,,
G8238,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE RECEIVED ORDER FOR OR CONSIDERATION FOR REHABILITATION SERVICES,,,,,
G8239,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2008.) INTERNAL CAROTID STENOSIS PATIENT BELOW 30%, REFERENCE TO MEASUREMENTS OF DISTAL INTERNAL CAROTID DIAMETER AS THE DENOMINATOR FOR STENOSIS MEASUREMENTNOT NECESSARY",,,,,
G8240,"Radiation, Oncology",Radiation Therapy,"INTERNAL CAROTID STENOSIS PATIENT IN THE 30-99% RANGE, AND NO DOCUMENTATION OF REFERENCE TO MEASUREMENTS OF DISTAL INTERNAL CAROTID DIAMETER AS THE DENOMINATOR FOR STENOSIS MEASUREMENT",,,,,
G8241,Family Practice,Office Visit,"CLINICIAN DOCUMENTED THAT PATIENT WHOSE FINAL REPORT OF THE CAROTID IMAGING STUDY PERFORMED (NECK MRA, NECK CTA, NECK DUPLEX ULTRASOUND, CAROTID ANGIOGRAM), WITH CHARACTERIZATIONOF AN INTERNAL CAROTID STENOSIS IN THE 30-99% RANGE, WAS NOTAN",,,,,
G8242,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2008.) PATIENT DOCUMENTED TO HAVE RECEIVED CT OR MRI WITH PRESENCE OR ABSENCE OF HEMORRHAGE, MASS LESION AND ACUTE INFARCTION DOCUMENTED IN THE FINAL REPORT",,,,,
G8243,Family Practice,Office Visit,"PATIENT NOT DOCUMENTED TO HAVE RECEIVED CT OR MRI AND THE PRESENCE OR ABSENCE OF HEMORRHAGE, MASS LESION AND ACUTE INFARCTION NOT DOCUMENTED IN THE FINAL REPORT",,,,,
G8245,Family Practice,Office Visit,CLINICIAN DOCUMENTED PRESENCE OR ABSENCE ALARM SYMPTOMS,,,,,
G8246,Family Practice,Office Visit,PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR MEDICAL HISTORY REVIEW WITH ASSESSMENT OF NEW OR CHANGING MOLES,,,,,
G8247,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) PATIENT WITH ALARM SYMPTOM(S) DOCUMENTED TO HAVE HAD UPPER ENDOSCOPY PERFORMED OR REFERRALFOR UPPER ENDOSCOPY,,,,,
G8248,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT WITH AT LEAST ONE ALARM SYMPTOM NOT DOCUMENTED TO HAVE HAD UPPER ENDOSCOPY OR REFERRAL FOR UPPER ENDOSCOPY,,,,,
G8249,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR UPPER ENDOSCOPY,,,,,
G8250,Family Practice,Office Visit,PATIENT WITH SUSPICION OF BARRETT'S ESOPHAGUS IN ENDOSCOPY REPORT AND DOCUMENTED TO HAVE RECEIVED AN ESOPHAGEAL BIOPSY,,,,,
G8251,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED AN ESOPHAGEAL BIOPSYWHEN SUSPICION OF BARRETT'S ESOPHAGUS IS INDICATED IN THE ENDOSCOPY REPORT,,,,,
G8252,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ESOPHAGEAL BIOPSY,,,,,
G8253,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED AN ORDER FOR A BARIUM SWALLOW TEST,,,,,
G8254,Family Practice,Office Visit,PATIENT WITH NO DOCUMENTATION ORDER FOR BARIUM SWALLOW TEST,,,,,
G8255,Family Practice,Office Visit,CLINICIAN DOCUMENTATION THAT PATIENT WAS AN ELIGIBLE CANDIDATE FOR BARIUM SWALLOW TEST,,,,,
G8256,Family Practice,Office Visit,CLINICIAN DOCUMENTED RECONCILIATION OF DISCHARGE MEDICATIONSWITH CURRENT MEDICATION LIST IN MEDICAL RECORD,,,,,
G8257,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) CLINICIAN HAS NOT DOCUMENTED RECONCILIATION OF DISCHARGE MEDICATIONS WITH CURRENT MEDICATION LIST IN MEDICAL RECORD,,,,,
G8258,Family Practice,Office Visit,PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR DISCHARGE MEDICATIONS REVIEW,,,,,
G8259,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE SURROGATE DECISION MAKER OR ADVANCE CARE PLAN IN MEDICAL RECORD,,,,,
G8260,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE SURROGATE DECISION MAKER OR ADVANCE CARE PLAN IN MEDICAL RECORD,,,,,
G8261,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR SURROGATE DECISION MAKER OR ADVANCE CARE PLAN,,,,,
G8262,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE BEEN ASSESSED FOR PRESENCE OR ABSENCE OF URINARY INCONTINENCE,,,,,
G8263,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE BEEN ASSESSED FOR PRESENCE OR ABSENCE OF URINARY INCONTINENCE,,,,,
G8264,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR AN ASSESSMENT OF THE PRESENCE OR ABSENCE OF URINARY INCONTINENCE,,,,,
G8265,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED CHARACTERIZATION OF URINARY INCONTINENCE,,,,,
G8266,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED CHARACTERIZATION OF URINARY INCONTINENCE,,,,,
G8267,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED A PLAN OF CARE FOR URINARY INCONTINENCE,,,,,
G8268,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE RECEIVED PLAN OF CARE FOR URINARY INCONTINENCE,,,,,
G8269,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE PATIENT FOR THE REQUIRED TIME TO DEVELOP PLAN OF CARE FOR URINARY INCONTINENCE,,,,,
G8270,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) PATIENT DOCUMENTED TO HAVE RECEIVED SCREENING FOR FALL RISK (2 OR MORE FALLS IN THE PAST YEAR ORANY FALL WITH INJURY IN THE PAST YEAR),,,,,
G8271,Family Practice,Office Visit,PATIENT WITH NO DOCUMENTATION OF SCREENING FOR FALL RISKS (2OR MORE FALLS IN THE PAST YEAR OR ANY FALL WITH INJURY IN THE PAST YEAR),,,,,
G8272,Family Practice,Office Visit,CLINICIAN DOCUMENTATION THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR FALL RISK SCREENING,,,,,
G8273,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE PATIENT FOR THE REQUIRED TIME TO SCREEN FOR FALL RISK,,,,,
G8274,Family Practice,Office Visit,CLINICIAN HAS NOT DOCUMENTED PRESENCE OR ABSENCE OF ALARM SYMPTOMS,,,,,
G8275,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE MEDICAL HISTORY TAKEN WHICH INCLUDED ASSESSMENT OF NEW OR CHANGING MOLES,,,,,
G8276,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED MEDICAL HISTORY WITHASSESSMENT OF NEW OR CHANGING MOLES,,,,,
G8277,Family Practice,Office Visit,PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR MEDICAL HISTORY REVIEW WITH ASSESSMENT OF NEW OR CHANGING MOLES,,,,,
G8278,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED COMPLETE PHYSICAL SKIN EXAM,,,,,
G8279,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED A COMPLETE PHYSICAL SKIN EXAM,,,,,
G8280,Family Practice,Office Visit,PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR COMPLETE PHYSICAL SKIN EXAM DURING THE REPORTING YEAR,,,,,
G8281,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) PATIENT DOCUMENTED TO HAVE RECEIVED COUNSELING TO PERFORM A SELF-EXAMINATION,,,,,
G8282,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE RECEIVED COUNSELING TO PERFORM A SELF-EXAMINATION,,,,,
G8283,Family Practice,Office Visit,PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR COUNSELING TO PERFORM SELF-EXAMINATION,,,,,
G8284,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED A PRESCRIPTION FOR PHARMACOLOGIC THERAPY FOR OSTEOPOROSIS,,,,,
G8285,"Radiation, Oncology",Radiation Therapy,NULL,,,,,
G8286,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR PHARMACOLOGIC THERAPY,,,,,
G8287,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN HAS NOT PROVIDED CARE FOR THE PATIENT FOR THE REQUIRED TIME FOR THE PHARMACOLOGIC THERAPY MEASURE,,,,,
G8288,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2008.) PATIENT DOCUMENTED TO HAVE RECEIVED CALCIUM AND VITAMIN D OR COUNSELING ON BOTH CALCIUM AND VITAMIN D USE, AND EXERCISE",,,,,
G8289,Family Practice,Office Visit,"PATIENT WITH NO DOCUMENTATION OF CALCIUM AND VITAMIN D USE OR COUNSELING REGARDING BOTH CALCIUM AND VITAMIN D USE, OR EXERCISE",,,,,
G8290,Family Practice,Office Visit,"CLINICIAN DOCUMENTATION THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR CALCIUM AND VITAMIN D, AND EXERCISE DURING THEREPORTING YEAR",,,,,
G8291,Family Practice,Office Visit,"CLINICIAN HAS NOT PROVIDED CARE FOR THE PATIENT FOR THE REQUIRED TIME FOR THE CALCIUM, VITAMIN D, AND EXERCISE MEASURE",,,,,
G8292,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) COPD PATIENT WITH SPIROMETRY RESULTSDOCUMENTED,,,,,
G8293,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) COPD PATIENT WITHOUT SPIROMETRY RESULTS DOCUMENTED,,,,,
G8294,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) COPD PATIENT WAS NOT ELIGIBLE FOR SPIROMETRY RESULTS,,,,,
G8295,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) COPD PATIENT DOCUMENTED TO HAVE RECEIVED INHALED BRONCHODILATOR THERAPY,,,,,
G8296,Family Practice,Office Visit,COPD PATIENT NOT DOCUMENTED TO HAVE INHALED BRONCHODILATOR THERAPY PRESCRIBED,,,,,
G8297,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) COPD PATIENT WAS NOT ELIGIBLE FOR INHALED BRONCHODILATOR THERAPY,,,,,
G8298,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE RECEIVED OPTIC NERVE HEAD EVALUATION,,,,,
G8299,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED OPTIC NERVE HEAD EVALUATION,,,,,
G8300,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR OPTIC NERVE HEAD EVALUATION DURING THE REPORTING YEAR,,,,,
G8301,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE PRIMARY OPEN-ANGLE GLAUCOMA PATIENT FOR THE REQUIRED TIME FOR OPTIC NERVE HEAD EVALUATION MEASURE,,,,,
G8302,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE A SPECIFIC TARGET INTRAOCULAR PRESSURE RANGE GOAL,,,,,
G8303,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2011.) PATIENT NOT DOCUMENTED TO HAVE A SPECIFIC TARGET INTRAOCULAR PRESSURE RANGE GOAL,,,,,
G8304,Family Practice,Office Visit,CLINICIAN DOCUMENTED THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR A SPECIFIC TARGET INTRAOCULAR PRESSURE RANGE GOAL,,,,,
G8305,Family Practice,Office Visit,CLINICIAN HAS NOT PROVIDED CARE FOR THE PRIMARY OPEN-ANGLE GLAUCOMA PATIENT FOR THE REQUIRED TIME FOR TREATMENT RANGE GOAL DOCUMENTATION MEASUREMENT,,,,,
G8306,Family Practice,Office Visit,PRIMARY OPEN-ANGLE GLAUCOMA PATIENT WITH INTRAOCULAR PRESSURE ABOVE THE TARGET RANGE GOAL DOCUMENTED TO HAVE RECEIVED PLAN OF CARE,,,,,
G8307,Family Practice,Office Visit,"PRIMARY OPEN-ANGLE GLAUCOMA PATIENT WITH INTRAOCULAR PRESSURE AT OR BELOW GOAL, NO PLAN OF CARE NECESSARY",,,,,
G8308,Family Practice,Office Visit,"PRIMARY OPEN-ANGLE GLAUCOMA PATIENT WITH INTRAOCULAR PRESSURE ABOVE THE TARGET RANGE GOAL, AND NOT DOCUMENTED TO HAVE RECEIVED PLAN OF CARE DURING THE REPORTING YEAR",,,,,
G8309,Family Practice,Office Visit,PATIENT DOCUMENTED TO HAVE BEEN PRESCRIBED/RECOMMENDED ANTIOXIDANT VITAMIN OR MINERAL SUPPLEMENT,,,,,
G8310,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE BEEN PRESCRIBED/RECOMMENDED AT LEAST ONE ANTIOXIDANT VITAMIN OR MINERAL SUPPLEMENT DURING THE REPORTING YEAR,,,,,
G8311,Family Practice,Office Visit,CLINICIAN DOCUMENTATION THAT PATIENT WAS NOT AN ELIGIBLE CANDIDATE FOR ANTIOXIDANT VITAMIN OR MINERAL SUPPLEMENT DURING THE REPORTING YEAR,,,,,
G8312,"Radiation, Oncology",Radiation Therapy,(CODE DELETED IN 2008.) CLINICIAN HAS NOT PROVIDED CARE FOR THE AGE-RELATED MACULAR DEGENERATION PATIENT FOR THE REQUIRED TIME FOR ANTIOXIDANT SUPPLEMENT PRESCRIPTION/RECOMMENDED MEASURE,,,,,
G8313,"Radiation, Oncology",Radiation Therapy,"(CODE DELETED IN 2008.) PATIENT DOCUMENTED TO HAVE RECEIVED MACULAR EXAM, INCLUDING DOCUMENTATION OF THE PRESENCE OR ABSENCE OF MACULAR THICKENING OR HEMORRHAGE AND THE LEVEL OFMACULAR DEGENERATION SEVERITY",,,,,
G8314,Family Practice,Office Visit,PATIENT NOT DOCUMENTED TO HAVE RECEIVED MACULAR EXAM WITH DOCUMENTATION OF PRESENCE OR ABSENCE OF MACULAR THICKENING OR HEMORRHAGE AND NO DOCUMENTATION OF LEVEL OF MACULAR DEGENERATION SEVERITY,,,,,
